"Distrito";"Candidato";"Partido";"Votos";"Porcentaje";"Candidatos";"Electo";""
"3";"68. ANTONINO PARISI FERNANDEZ";"DRP";"0";"0,00%";NA;""
"3";"69. ESTEBAN  ZLATAR FRANULIC";"DRP";"0";"0,00%";NA;""
"3";"70. DANIEL ERNESTO ADARO SILVA";"FRVS";"0";"0,00%";NA;""
"3";"71. CAROLINA ELIZABETH MOBAREC VALENCIA";"FRVS";"0";"0,00%";NA;""
"3";"72. ESTEBAN JORGE VELASQUEZ NUŃEZ";"FRVS";"0";"0,00%";NA;""
"3";"73. DIELA MARIA ALVAREZ ORTEGA";"FRVS";"0";"0,00%";NA;""
"3";"74. MARCELA XIMENA HERNANDO PEREZ";"PRSD";"0";"0,00%";NA;""
"3";"75. MARCOS ANDRES ESPINOSA MONARDES";"PRSD";"0";"0,00%";NA;""
"3";"76. SOL ROMERO DEL VILLAR";"PRSD";"0";"0,00%";NA;""
"3";"77. LUIS CAPRIOGLIO RABELLO";"PSCH";"0";"0,00%";NA;""
"3";"78. ALEJANDRA POZO CORTEZ";"IND-PCCH";"0";"0,00%";NA;""
"3";"79. JAIME ARAYA GUERRERO";"IND-PPD";"0";"0,00%";NA;""
"3";"80. VALENTIN HUMBERTO VOLTA VALENCIA";"PDC";"0";"0,00%";NA;""
"3";"81. SONYA IVONNE LANGENBACH RUIZ";"PDC";"0";"0,00%";NA;""
"3";"82. MIRIAM CAROLINA GONZALEZ BERNAL";"IND-ICCH";"0";"0,00%";NA;""
"3";"83. CARLOS ENRIQUE LOPEZ VEGA";"PRI";"0";"0,00%";NA;""
"3";"84. IGNACIO LEON CUEVAS";"IND-EVOP.";"0";"0,00%";NA;""
"3";"85. PAULINA NUŃEZ URRUTIA";"RN";"0";"0,00%";NA;""
"3";"86. JOSE MIGUEL CASTRO BASCUŃAN";"RN";"0";"0,00%";NA;""
"3";"87. PABLO TOLOZA FERNANDEZ";"UDI";"0";"0,00%";NA;""
"3";"88. CLAUDIA MENESES OLIVA";"IND-UDI";"0";"0,00%";NA;""
"4";"50. JOSE CAMPOS VELIZ";"IND-PRO";"0";"0,00%";NA;""
"4";"51. ULISES CARABANTES AHUMADA";"IND-PRO";"0";"0,00%";NA;""
"4";"52. FABIOLA ESCARLEN EWERT DAZA";"IND-PRO";"0";"0,00%";NA;""
"4";"53. HECTOR ALEJANDRO ZAMORA GARCIA";"IND-PRO";"0";"0,00%";NA;""
"4";"54. INTI ELEODORO SALAMANCA FERNANDEZ";"PODER";"0";"0,00%";NA;""
"4";"55. JUAN MANUEL ANTONIO DIAZ MICHEA";"PODER";"0";"0,00%";NA;""
"4";"56. LUIS ALBERTO ACUŃA CASTILLO";"IND-PODER";"0";"0,00%";NA;""
"4";"57. PATRICIA ERIKA ALVAREZ OLAVE";"IND-PODER";"0";"0,00%";NA;""
"4";"58. MARIO  VARAS PIZARRO";"RD";"0";"0,00%";NA;""
"4";"59. SANDRA  PEŃA MARAMBIO";"IND-RD";"0";"0,00%";NA;""
"4";"60. JAIME MULET MARTINEZ";"FRVS";"0";"0,00%";NA;""
"4";"61. YHANSS DELGADO QUEVEDO";"FRVS";"0";"0,00%";NA;""
"4";"62. CLARA MENESES COLOMA";"FRVS";"0";"0,00%";NA;""
